"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"3404" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2152; b2153" "yeiB; folE" "predicted inner membrane protein; GTP cyclohydrolase I"
"3405" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2158; b2159; b2160" "yeiH; nfo; yeiI" "inner membrane protein, UPF0324 family; endonuclease IV with intrinsic 3'-5' exonuclease activity; predicted kinase"
"3406" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2164; b2165; b2166" "psuT; psuG; psuK" "predicted nucleoside transporter; pseudouridine 5'-phosphate glycosidase; pseudouridine kinase"
"3407" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2167; b2168; b2169" "fruA; fruK; fruB" "fused fructose-specific PTS enzymes: IIBcomponent/IIC components; fructose-1-phosphate kinase; fused fructose-specific PTS enzymes: IIA component/HPr component"
"3408" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2173; b2174" "yeiR; lpxT" "predicted enzyme; Lipid A 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase"
"3409" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2176; b2177; b2178; b2179; b2180" "rtn; yejA; yejB; yejE; yejF" "resistance protein for phages lambda and N4, when overexpressed; microcin C transporter YejABEF, periplasmic binding protein; ABC family; microcin C transporter YejABEF, permease subunit; ABC family; microcin C transporter YejABEF, permease subunit; ABC family; microcin C transporter, ATP-binding subunit; ABC family"
"3410" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2182; b2183" "bcr; rsuA" "bicyclomycin/multidrug efflux system; 16S rRNA U516 pseudouridine synthase"
"3411" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2187; b2188" "yejL; yejM" "conserved protein, UPF0352 family; predicted hydrolase, inner membrane"
"3412" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 15 "b2194; b2195; b2196; b2197; b2198; b2199; b2200; b2201; b2202; b2203; b2204; b2205; b2206; b2207; b2208" "ccmH; ccmG; ccmF; ccmE; ccmD; ccmC; ccmB; ccmA; napC; napB; napH; napG; napA; napD; napF" "heme lyase, CcmH subunit; periplasmic thioredoxin of cytochrome c-type biogenesis; heme lyase, CcmF subunit; periplasmic heme chaperone; cytochrome c biogenesis protein; heme exporter subunit; heme exporter subunit; heme exporter subunit; Quinol dehydrogenase, electron source for NapAB; nitrate reductase, small, cytochrome C550 subunit, periplasmic; ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB); ferredoxin-type protein essential for electron transfer from ubiquinol to periplasmic nitrate reductase (NapAB); nitrate reductase, periplasmic, large subunit; assembly protein for periplasmic nitrate reductase; ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA"
"3413" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2211; b2212; b2213; b2214" "yojI; alkB; ada; apbE" "Microcin J25 efflux pump, TolC-dependent; fused ABC transporter permease and ATP-binding components; oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions; fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase; predicted thiamine biosynthesis lipoprotein"
"3414" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2216; b2217" "rcsD; rcsB" "phosphotransfer intermediate protein in two-component regulatory system with RcsBC; DNA-binding response regulator in two-component regulatory system with RcsC and YojN"
"3415" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2219; b2220" "atoS; atoC" "sensory histidine kinase in two-component regulatory system with AtoC; fused response regulator of ato operon, in two-component system with AtoS: response regulator/sigma54 interaction protein"
"3416" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2221; b2222; b2223; b2224" "atoD; atoA; atoE; atoB" "acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit; acetyl-CoA:acetoacetyl-CoA transferase, beta subunit; short chain fatty acid transporter; acetyl-CoA acetyltransferase"
"3417" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2225; b2226" "yfaP; yfaQ" "conserved protein; predicted protein"
"3418" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2229; b2230" "yfaT; yfaA" "predicted protein; conserved protein, DUF2138 family"
"3419" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2235; b2236" "nrdB; yfaE" "ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein; ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance"
"3420" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2239; b2240" "glpQ; glpT" "periplasmic glycerophosphodiester phosphodiesterase; sn-glycerol-3-phosphate transporter"
"3421" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2241; b2242; b2243" "glpA; glpB; glpC" "sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding; sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit; anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster"
"3422" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2244; b4543" "yfaD; ypaA" "conserved protein; predicted protein"
"3423" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2245; b2246; b2247; b2248" "rhmA; rhmT; rhmD; rhmR" "2-keto-3-deoxy-L-rhamnonate aldolase; predicted L-rhamnonate transporter; L-rhamnonate dehydratase; predicted DNA-binding transcriptional regulator for the rhm operon"
"3424" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b2253; b2254; b2255; b2256; b2257; b4544; b2258" "arnB; arnC; arnA; arnD; arnT; arnE; arnF" "uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent; undecaprenyl phosphate-L-Ara4FN transferase; fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase; Undecaprenyl phosphate-alpha-L-ara4FN deformylase; 4-amino-4-deoxy-L-arabinose transferase; undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit; undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit"
"3425" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2260; b2261; b2262; b2263; b2264" "menE; menC; menB; menH; menD" "o-succinylbenzoate-CoA ligase; o-succinylbenzoyl-CoA synthase; dihydroxynaphthoic acid synthetase; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase; bifunctional 2-oxoglutarate decarboxylase/ SHCHC synthase"
"3426" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2266; b2267" "elaB; elaA" "conserved protein; predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"3427" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2276; b2277" "nuoN; nuoM" "NADH:ubiquinone oxidoreductase, membrane subunit N; NADH:ubiquinone oxidoreductase, membrane subunit M"
"3428" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 11 "b2278; b2279; b2280; b2281; b2282; b2283; b2284; b2285; b2286; b2287; b2288" "nuoL; nuoK; nuoJ; nuoI; nuoH; nuoG; nuoF; nuoE; nuoC; nuoB; nuoA" "NADH:ubiquinone oxidoreductase, membrane subunit L; NADH:ubiquinone oxidoreductase, membrane subunit K; NADH:ubiquinone oxidoreductase, membrane subunit J; NADH:ubiquinone oxidoreductase, chain I; NADH:ubiquinone oxidoreductase, membrane subunit H; NADH:ubiquinone oxidoreductase, chain G; NADH:ubiquinone oxidoreductase, chain F; NADH:ubiquinone oxidoreductase, chain E; NADH:ubiquinone oxidoreductase, fused CD subunit; NADH:ubiquinone oxidoreductase, chain B; NADH:ubiquinone oxidoreductase, membrane subunit A"
"3429" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2290; b2291" "alaA; yfbR" "valine-pyruvate aminotransferase 2; 5'-nucleotidase"
"3430" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2293; b2294" "yfbT; yfbU" "sugar phosphatas; conserved protein, UPF0304 family"
"3431" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2296; b2297" "ackA; pta" "acetate kinase A and propionate kinase 2; phosphate acetyltransferase"
"3432" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2299; b2300" "yfcD; yfcE" "predicted NUDIX hydrolase; phosphodiesterase activity on bis-pNPP"
"3433" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2302; b2303; b2304" "yfcG; folX; yfcH" "GSH-dependent disulfide bond oxidoreductase; D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase; conserved protein with NAD(P)-binding Rossmann-fold domain"
"3434" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2306; b2307; b2308; b2309" "hisP; hisM; hisQ; hisJ" "histidine/lysine/arginine/ornithine transporter subunit; histidine/lysine/arginine/ornithine transporter subunit; histidine/lysine/arginine/ornithine transporter permease subunit; histidine/lysine/arginine/ornithine transporter subunit"
"3435" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2311; b2312; b2313" "ubiX; purF; cvpA" "3-octaprenyl-4-hydroxybenzoate carboxy-lyase; amidophosphoribosyltransferase; membrane protein required for colicin V production"
"3436" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2314; b2315; b2316" "dedD; folC; accD" "membrane-anchored periplasmic protein involved in septation; bifunctional folylpolyglutamate synthase/ dihydrofolate synthase; acetyl-CoA carboxylase, beta (carboxyltransferase) subunit"
"3437" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2317; b2318; b2319; b2320" "dedA; truA; usg; pdxB" "conserved inner membrane protein; pseudouridylate synthase I; predicted semialdehyde dehydrogenase; erythronate-4-phosphate dehydrogenase"
"3438" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b2325; b2326; b2327; b2328; b2329; b2330" "yfcL; yfcM; yfcA; mepA; aroC; prmB" "predicted protein; conserved protein; inner membrane protein, UPF0721 family; murein DD-endopeptidase; chorismate synthase; N5-glutamine methyltransferase"
"3439" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2332; b2333; b2334; b2335; b2336" "yfcO; yfcP; yfcQ; yfcR; yfcS" "predicted protein; predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein; predicted periplasmic pilus chaperone"
"3440" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2341; b2342" "fadJ; fadI" "fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase; beta-ketoacyl-CoA thiolase, anaerobic, subunit"
"3441" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2350; b2351; b2352" "gtrA; gtrB; gtrS" "CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase); CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase; serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage"
"3442" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2359; b2360" "yfdP; yfdQ" "CPS-53 (KpLE1) prophage; predicted protein; CPS-53 (KpLE1) prophage; predicted protein"
"3443" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2361; b2362; b2363" "yfdR; yfdS; yfdT" "CPS-53 (KpLE1) prophage; conserved protein; CPS-53 (KpLE1) prophage; predicted protein; CPS-53 (KpLE1) prophage; predicted protein"
"3444" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2365; b2366" "dsdX; dsdA" "D-serine permease; D-serine dehydratase"
"3445" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2367; b2368" "emrY; emrK" "predicted multidrug efflux system; EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component"
"3446" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2369; b2370" "evgA; evgS" "DNA-binding response regulator in two-component regulatory system with EvgS; hybrid sensory histidine kinase in two-component regulatory system with EvgA"
"3447" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2372; b2373; b2374" "yfdV; oxc; frc" "predicted transporter; oxalyl CoA decarboxylase, ThDP-dependent; formyl-CoA transferase, NAD(P)-binding"
"3448" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2380; b2381; b2382" "ypdA; ypdB; ypdC" "predicted sensory kinase in two-component system with YpdB; predicted response regulator in two-component system with YpdA; predicted DNA-binding protein"
"3449" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2383; b2384; b2385; b2386; b2387" "fryA; ypdE; ypdF; fryC; fryB" "fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component; aminopeptidase; Xaa-Pro aminopeptidase; predicted enzyme IIC component of PTS; predicted enzyme IIB component of PTS"
"3450" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2398; b2399" "yfeC; yfeD" "predicted DNA-binding protein, DUF1323 family; conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily"
"3451" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2406; b2407" "xapB; xapA" "xanthosine transporter; purine nucleoside phosphorylase II"
"3452" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4546; b2411" "ypeB; ligA" "predicted protein; DNA ligase, NAD(+)-dependent"
"3453" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2415; b2416; b2417" "ptsH; ptsI; crr" "phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr); PEP-protein phosphotransferase of PTS system (enzyme I); glucose-specific enzyme IIA component of PTS"
"3454" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2419; b2420" "yfeK; yfeS" "predicted protein; conserved protein"
"3455" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2422; b2423; b2424; b2425" "cysA; cysW; cysU; cysP" "sulfate/thiosulfate transporter subunit; sulfate/thiosulfate ABC transporter subunit; sulfate/thiosulfate ABC transporter permease; thiosulfate-binding protein"
"3456" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2428; b2429; b2430" "murQ; murP; yfeW" "N-acetylmuramic acid 6-phosphate (MurNAc-6-P) etherase; N-acetylmuramic acid permease, EIIBC component, PTS system; weak penicillin binding protein PBP4B, predicted periplasmic esterase"
"3457" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2431; b2432" "yfeX; yfeY" "deferrrochelatase, cytoplasmic; RpoE-regulated lipoprotein"
"3458" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2433; b2434" "yfeZ; ypeA" "inner membrane protein; predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"3459" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2435; b2436" "amiA; hemF" "N-acetylmuramoyl-l-alanine amidase I; coproporphyrinogen III oxidase"
"3460" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2437; b2438; b2439; b2440; b2441" "eutR; eutK; eutL; eutC; eutB" "eut operon transcriptional activator, AraC family; predicted carboxysome structural protein with predicted role in ethanolamine utilization; predicted carboxysome structural protein with predicted role in ethanolamine utilization; ethanolamine ammonia-lyase, small subunit (light chain); ethanolamine ammonia-lyase, large subunit, heavy chain"
"3461" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2444; b2445" "yffM; yffN" "CPZ-55 prophage; predicted protein; CPZ-55 prophage; predicted protein"
"3462" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2446; b2447" "yffO; yffP" "CPZ-55 prophage; predicted protein; CPZ-55 prophage; predicted protein"
"3463" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2448; b2449" "yffQ; yffR" "CPZ-55 prophage; predicted protein; CPZ-55 prophage; predicted protein"
"3464" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2451; b2452" "eutA; eutH" "reactivating factor for ethanolamine ammonia lyase; ethanolamine transporter"
"3465" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2453; b2454; b2455; b2456" "eutG; eutJ; eutE; eutN" "ethanol dehydrogenase involved in ethanolamine utilization; aldehyde reductase, converts acetaldehyde to ethanol; predicted chaperonin, ethanolamine utilization protein; aldehyde oxidoreductase, ethanolamine utilization protein; Ethanolamine catabolic microcompartment shell protein"
"3466" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b2457; b2458; b2459; b2460; b2461; b2462" "eutM; eutD; eutT; eutQ; eutP; eutS" "predicted carboxysome structural protein, ethanolamine utilization protein; phosphate acetyltransferase; cobalamin adenosyltransferase involved in ethanolamine utilization; conserved protein; conserved protein with nucleoside triphosphate hydrolase domain; predicted carboxysome structural protein with predicted role in ethanol utilization"
"3467" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2464; b2465" "talA; tktB" "transaldolase A; transketolase 2, thiamin-binding"
"3468" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2467; b2468" "nudK; aegA" "GDP-mannose pyrophosphatase; fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit"
"3469" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2471; b2472; b4547" "yffB; dapE; ypfN" "predicted reductase, function unknown, ArsC family; low abundance protein; N-succinyl-diaminopimelate deacylase; predicted membrane protein, UPF0370 family"
"3470" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2473; b2474; b2475" "ypfH; tmcA; ypfJ" "predicted hydrolase; elongator methionine tRNA (ac4C34) acetyltransferase; conserved protein"
"3471" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2477; b2478" "bamC; dapA" "lipoprotein required for OM biogenesis, in BamABCDE complex; dihydrodipicolinate synthase"
"3472" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2479; b2480" "gcvR; bcp" "DNA-binding transcriptional repressor, regulatory protein accessory to GcvA; thiol peroxidase, thioredoxin-dependent"
"3473" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 12 "b2481; b2482; b2483; b2484; b2485; b2486; b2487; b2488; b2489; b2490; b2491; b2492" "hyfA; hyfB; hyfC; hyfD; hyfE; hyfF; hyfG; hyfH; hyfI; hyfJ; hyfR; focB" "hydrogenase 4, 4Fe-4S subunit; hydrogenase 4, membrane subunit; hydrogenase 4, membrane subunit; hydrogenase 4, membrane subunit; hydrogenase 4, membrane subunit; hydrogenase 4, membrane subunit; hydrogenase 4, subunit; hydrogenase 4, Fe-S subunit; hydrogenase 4, Fe-S subunit; predicted processing element hydrogenase 4; DNA-binding transcriptional activator, formate sensing; predicted formate transporter"
"3474" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2494; b2495" "yfgC; yfgD" "predicted peptidase, has TPR repeats; predicted oxidoreductase"
"3475" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2496; b2497" "hda; uraA" "ATPase regulatory factor involved in DnaA inactivation; uracil permease"
"3476" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2499; b2500" "purM; purN" "phosphoribosylaminoimidazole synthetase; phosphoribosylglycinamide formyltransferase 1"
"3477" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2501; b2502" "ppk; ppx" "polyphosphate kinase, component of RNA degradosome; exopolyphosphatase"
"3478" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2505; b2506" "yfgH; yfgI" "outer membrane lipoprotein; conserved protein"
"3479" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2507; b2508" "guaA; guaB" "GMP synthetase (glutamine aminotransferase); IMP dehydrogenase"
"3480" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2510; b2511" "yfgJ; der" "conserved protein, DUF1407 family; GTPase; multicopy suppressor of ftsJ"
"3481" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2512; b2513; b2514" "bamB; yfgM; hisS" "lipoprotein required for OM biogenesis, in BamABCDE complex; conserved protein, UPF0070 family; histidyl tRNA synthetase"
"3482" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2515; b2516" "ispG; rodZ" "1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; cytoskeletal protein required for MreB assembly"
"3483" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2519; b2520" "pbpC; yfhM" "penicillin-binding protein PBP1C murein transglycosylase; inactive transpeptidase domain; conserved protein"
"3484" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b2524; b2525; b2526; b2527; b2528; b2529; b2530" "iscX; fdx; hscA; hscB; iscA; iscU; iscS" "conserved protein; [2Fe-2S] ferredoxin; DnaK-like molecular chaperone specific for IscU; DnaJ-like molecular chaperone specific for IscU; FeS cluster assembly protein; iron-sulfur cluster assembly scaffold protein; cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent"
"3485" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2538; b2539; b2540; b2541; b2542" "hcaE; hcaF; hcaC; hcaB; hcaD" "3-phenylpropionate dioxygenase, large (alpha) subunit; 3-phenylpropionate dioxygenase, small (beta) subunit; 3-phenylpropionate dioxygenase, predicted ferredoxin subunit; 2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase; phenylpropionate dioxygenase, ferredoxin reductase subunit"
"3486" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2544; b2545; b2546; b2547; b2548" "yphB; yphC; yphD; yphE; yphF" "conserved protein; predicted oxidoreductase, Zn-dependent and NAD(P)-binding; predicted sugar transporter subunit: membrane component of ABC superfamily; fused predicted sugar transporter subunits of ABC superfamily: ATP-binding components; predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily"
"3487" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2553; b2554; b2555" "glnB; glrR; yfhG" "regulatory protein P-II for glutamine synthetase; Response regulator regulating glmY sRNA in two-component system with sensor protein GlrK; conserved protein"
"3488" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2559; b2560" "tadA; pgpC" "tRNA-specific adenosine deaminase; conserved protein"
"3489" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2561; b2562" "yfhH; yfhL" "predicted DNA-binding transcriptional regulator; predicted 4Fe-4S cluster-containing protein"
"3490" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2563; b2564; b2565; b2566; b2567" "acpS; pdxJ; recO; era; rnc" "holo-[acyl-carrier-protein] synthase 1; pyridoxine 5'-phosphate synthase; gap repair protein; membrane-associated, 16S rRNA-binding GTPase; RNase III"
"3491" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2568; b2569" "lepB; lepA" "leader peptidase (signal peptidase I); back-translocating Elongation Factor EF4, GTPase"
"3492" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2570; b2571; b2572; b2573" "rseC; rseB; rseA; rpoE" "RseC protein involved in reduction of the SoxR iron-sulfur cluster; anti-sigma E factor, binds RseA; anti-sigma factor; RNA polymerase, sigma 24 (sigma E) factor"
"3493" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2583; b2584" "yfiP; yfiQ" "conserved protein, DTW domain; inhibiting acetyltransferase for acetyl-CoA synthetase"
"3494" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2585; b2586" "pssA; yfiM" "phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase); required for high salt suppression of motility; probable lipoprotein"
"3495" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2593; b2594" "yfiH; rluD" "conserved protein, UPF0124 family; 23S rRNA pseudouridine synthase; specific to U1911, U1915, and U1917"
"3496" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2597; b2598; b2599" "raiA; pheL; pheA" "cold shock protein associated with 30S ribosomal subunit; pheA gene leader peptide; fused chorismate mutase P/prephenate dehydratase"
"3497" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2600; b2601" "tyrA; aroF" "fused chorismate mutase T/prephenate dehydrogenase; 3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible"
"3498" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2603; b2604; b2605" "yfiR; yfiN; yfiB" "probable periplasmic inhibitor of YfiN activity; probable inner membrane diguanylate cyclase; probable positive effector of YfiN activity, OM lipoprotein"
"3499" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2606; b2607; b2608; b2609" "rplS; trmD; rimM; rpsP" "50S ribosomal subunit protein L19; tRNA m(1)G37 methyltransferase, SAM-dependent; 16S rRNA processing protein; 30S ribosomal subunit protein S16"
"3500" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2611; b4461" "ypjD; yfjD" "predicted inner membrane protein; inner membrane protein, UPF0053 family"
"3501" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2618; b2619" "ratB; ratA" "conserved protein, UPF0125 family; toxic protein, UPF0083 family"
"3502" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2627; b2628" "yfjK; yfjL" "CP4-57 prophage; conserved protein; CP4-57 prophage; predicted protein"
"3503" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2630; b2631" "rnlA; rnlB" "CP4-57 prophage; RNase LS; CP4-57 prophage; predicted protein"
"3504" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2632; b2633" "yfjP; yfjQ" "CP4-57 prophage; predicted GTP-binding protein; CP4-57 prophage; predicted protein"
"3505" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2634; b2635; b2636; b2637" "yfjR; ypjK; yfjS; yfjT" "CP4-57 prophage; predicted DNA-binding transcriptional regulator; CP4-57 prophage; predicted inner membrane protein; CP4-57 prophage; predicted protein; CP4-57 prophage; predicted protein"
"3506" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2643; b2644; b4548; b2645; b2646" "yfjX; yfjY; ypjJ; yfjZ; ypjF" "CP4-57 prophage; predicted antirestriction protein; CP4-57 prophage; predicted DNA repair protein; predicted protein; CP4-57 prophage; antitoxin of the YpjF-YfjZ toxin-antitoxin system; CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system"
"3507" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2659; b2660; b2661; b2662" "csiD; lhgO; gabD; gabT" "carbon starvation induced gene; L-2-hydroxyglutarate oxidase; succinate-semialdehyde dehydrogenase I, NADP-dependent; 4-aminobutyrate aminotransferase, PLP-dependent"
"3508" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2663; b2664" "gabP; csiR" "gamma-aminobutyrate transporter; DNA-binding transcriptional repressor of csiD"
"3509" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2665; b2666" "ygaU; yqaE" "predicted protein; regulated by cyaR sRNA, UPF0057 family; predicted membrane protein"
"3510" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2667; b2668" "ygaV; ygaP" "tributyltin-inducible repressor of ygaVP; predicted inner membrane protein with hydrolase activity"
